,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
839,601633.SH,20200102,8.9,9.37,8.87,9.2,8.85,0.35,3.9548,266725.54,243837.877
838,601633.SH,20200103,9.25,9.31,9.08,9.17,9.2,-0.03,-0.3261,167303.62,153405.789
837,601633.SH,20200106,9.1,9.19,8.93,8.96,9.17,-0.21,-2.2901,221849.12,200848.247
836,601633.SH,20200107,8.98,9.15,8.95,9.15,8.96,0.19,2.1205,188681.24,171042.491
835,601633.SH,20200108,9.13,9.13,8.92,8.98,9.15,-0.17,-1.8579,156596.66,140951.2
834,601633.SH,20200109,9.01,9.13,9.01,9.1,8.98,0.12,1.3363,129982.43,118098.185
833,601633.SH,20200110,9.05,9.17,8.91,9.13,9.1,0.03,0.3297,181017.57,164164.241
832,601633.SH,20200113,9.19,9.38,9.01,9.08,9.13,-0.05,-0.5476,251478.3,229210.6
831,601633.SH,20200114,9.07,9.16,8.93,8.94,9.08,-0.14,-1.5419,231518.94,209260.027
830,601633.SH,20200115,8.93,8.93,8.75,8.8,8.94,-0.14,-1.566,208629.43,183616.98
829,601633.SH,20200116,8.86,8.86,8.68,8.68,8.8,-0.12,-1.3636,183661.96,160105.389
828,601633.SH,20200117,8.74,8.79,8.67,8.74,8.68,0.06,0.6912,132603.57,115780.953
827,601633.SH,20200120,8.81,8.94,8.8,8.86,8.74,0.12,1.373,160968.62,142987.994
826,601633.SH,20200121,8.89,8.89,8.6,8.6,8.86,-0.26,-2.9345,180335.53,155885.297
825,601633.SH,20200122,8.6,8.77,8.4,8.7,8.6,0.1,1.1628,137872.34,118799.395
824,601633.SH,20200123,8.65,8.7,8.2,8.35,8.7,-0.35,-4.023,177227.2,149638.737
823,601633.SH,20200203,7.52,7.62,7.52,7.52,8.35,-0.83,-9.9401,209897.79,157992.142
822,601633.SH,20200204,7.48,7.68,7.4,7.56,7.52,0.04,0.5319,307221.71,231105.98
821,601633.SH,20200205,7.56,7.9,7.56,7.64,7.56,0.08,1.0582,310056.98,238871.402
820,601633.SH,20200206,7.66,7.81,7.56,7.75,7.64,0.11,1.4398,170290.15,131196.054
819,601633.SH,20200207,7.72,7.78,7.55,7.72,7.75,-0.03,-0.3871,228177.66,174247.102
818,601633.SH,20200210,7.61,7.82,7.57,7.8,7.72,0.08,1.0363,206303.27,159870.077
817,601633.SH,20200211,7.8,7.91,7.76,7.82,7.8,0.02,0.2564,166091.21,129958.696
816,601633.SH,20200212,7.84,7.86,7.75,7.85,7.82,0.03,0.3836,105251.01,82253.785
815,601633.SH,20200213,7.82,8.04,7.82,7.98,7.85,0.13,1.6561,215051.56,171350.366
814,601633.SH,20200214,7.95,8.02,7.87,7.97,7.98,-0.01,-0.1253,145352.79,115422.279
813,601633.SH,20200217,8.1,8.67,8.1,8.66,7.97,0.69,8.6575,405019.61,343072.654
812,601633.SH,20200218,8.66,8.77,8.51,8.71,8.66,0.05,0.5774,293269.09,253838.645
811,601633.SH,20200219,8.68,8.83,8.55,8.56,8.71,-0.15,-1.7222,183933.5,159475.711
810,601633.SH,20200220,8.61,8.62,8.46,8.6,8.56,0.04,0.4673,203263.58,173880.182
809,601633.SH,20200221,8.82,8.94,8.66,8.86,8.6,0.26,3.0233,320334.67,281990.906
808,601633.SH,20200224,8.87,9.4,8.78,9.19,8.86,0.33,3.7246,403121.1,367679.119
807,601633.SH,20200225,8.96,9.74,8.9,9.56,9.19,0.37,4.0261,487847.72,453624.599
806,601633.SH,20200226,9.36,9.68,9.22,9.23,9.56,-0.33,-3.4519,384628.91,363169.255
805,601633.SH,20200227,9.26,9.31,8.95,9.13,9.23,-0.1,-1.0834,280786.67,256125.227
804,601633.SH,20200228,8.9,9.13,8.42,8.85,9.13,-0.28,-3.0668,438212.52,382819.891
803,601633.SH,20200302,8.8,9.33,8.76,9.25,8.85,0.4,4.5198,344061.37,313619.097
802,601633.SH,20200303,9.39,9.45,8.96,9.04,9.25,-0.21,-2.2703,272205.88,249392.055
801,601633.SH,20200304,9.15,9.15,8.85,9.05,9.04,0.01,0.1106,198338.7,177513.096
800,601633.SH,20200305,9.13,9.28,9,9.18,9.05,0.13,1.4365,320290.1,294064.879
799,601633.SH,20200306,9.07,9.26,9.05,9.11,9.18,-0.07,-0.7625,180211.96,165253.808
798,601633.SH,20200309,9,9.04,8.58,8.69,9.11,-0.42,-4.6103,277478.88,243609.554
797,601633.SH,20200310,8.49,9.02,8.48,8.95,8.69,0.26,2.9919,234505.8,206889.817
796,601633.SH,20200311,8.96,9.35,8.92,9.16,8.95,0.21,2.3464,314324.47,288949.835
795,601633.SH,20200312,9.06,9.28,8.87,9.19,9.16,0.03,0.3275,254322.46,230917.861
794,601633.SH,20200313,8.8,9.28,8.7,9.27,9.19,0.08,0.8705,285429.9,258730.18
793,601633.SH,20200316,9.26,9.27,8.48,8.59,9.27,-0.68,-7.3355,324768.2,286694.509
792,601633.SH,20200317,8.55,8.74,8.11,8.21,8.59,-0.38,-4.4237,207390.7,172108.212
791,601633.SH,20200318,8.24,8.52,8.05,8.09,8.21,-0.12,-1.4616,337933.63,281590.407
790,601633.SH,20200319,8.21,8.24,7.69,8.21,8.09,0.12,1.4833,411777.94,328141.947
789,601633.SH,20200320,8.26,8.48,8.14,8.39,8.21,0.18,2.1924,232570.52,194284.538
788,601633.SH,20200323,8.18,8.2,7.8,7.8,8.39,-0.59,-7.0322,190346.22,151514.611
787,601633.SH,20200324,7.94,8.58,7.89,8.58,7.8,0.78,10,290152.14,238410.603
786,601633.SH,20200325,8.83,9.21,8.66,9.06,8.58,0.48,5.5944,434505.48,390150.2
785,601633.SH,20200326,9,9.03,8.75,8.9,9.06,-0.16,-1.766,228378.93,202461.052
784,601633.SH,20200327,9.02,9.12,8.81,8.95,8.9,0.05,0.5618,164747.6,147690.296
783,601633.SH,20200330,8.92,9.09,8.51,9.03,8.95,0.08,0.8939,176157.7,158190.9
782,601633.SH,20200331,9.04,9.1,8.87,8.89,9.03,-0.14,-1.5504,212503.22,190742.391
781,601633.SH,20200401,8.89,9.2,8.43,8.48,8.89,-0.41,-4.6119,373365.46,326870.57
780,601633.SH,20200402,8.3,8.36,8.07,8.3,8.48,-0.18,-2.1226,262590.42,215209.297
779,601633.SH,20200403,8.35,8.4,8.14,8.16,8.3,-0.14,-1.6867,152951.69,125923.88
778,601633.SH,20200407,8.3,8.37,8.17,8.32,8.16,0.16,1.9608,199077.47,164374.007
777,601633.SH,20200408,8.26,8.28,8.13,8.21,8.32,-0.11,-1.3221,128157.35,105024.046
776,601633.SH,20200409,8.26,8.34,8.21,8.27,8.21,0.06,0.7308,162615,134346.084
775,601633.SH,20200410,8.29,8.29,8.03,8.08,8.27,-0.19,-2.2975,164066.4,133152.519
774,601633.SH,20200413,8.08,8.11,7.92,8.08,8.08,0,0,102691.61,82373.112
773,601633.SH,20200414,8.02,8.17,8.02,8.13,8.08,0.05,0.6188,136272.75,110376.773
772,601633.SH,20200415,8.13,8.2,8.08,8.09,8.13,-0.04,-0.492,108509.5,88253.298
771,601633.SH,20200416,8.06,8.14,7.97,8.02,8.09,-0.07,-0.8653,148917.03,119523.236
770,601633.SH,20200417,8.06,8.16,8.04,8.09,8.02,0.07,0.8728,116379.51,94244.515
769,601633.SH,20200420,8.14,8.14,8.04,8.11,8.09,0.02,0.2472,78551.56,63587.253
768,601633.SH,20200421,8.09,8.09,7.91,7.97,8.11,-0.14,-1.7263,98438.87,78637.762
767,601633.SH,20200422,7.92,8.06,7.84,8.04,7.97,0.07,0.8783,72965.21,58176.52
766,601633.SH,20200423,8.08,8.1,7.95,7.99,8.04,-0.05,-0.6219,85436.88,68482.525
765,601633.SH,20200424,8.09,8.16,7.87,7.91,7.99,-0.08,-1.0013,109674.41,87525.685
764,601633.SH,20200427,7.9,7.91,7.67,7.87,7.91,-0.04,-0.5057,106777.61,83453.355
763,601633.SH,20200428,7.85,7.91,7.65,7.75,7.87,-0.12,-1.5248,106601.79,82659.705
762,601633.SH,20200429,7.75,7.9,7.7,7.82,7.75,0.07,0.9032,92998.72,72635.525
761,601633.SH,20200430,7.86,8.15,7.85,8.06,7.82,0.24,3.0691,148589.21,119704.066
760,601633.SH,20200506,7.99,8.32,7.96,8.26,8.06,0.2,2.4814,197061.06,162113.581
759,601633.SH,20200507,8.25,8.25,8.1,8.19,8.26,-0.07,-0.8475,106753.21,87245.109
758,601633.SH,20200508,8.17,8.45,8.17,8.39,8.19,0.2,2.442,188309.81,156790.266
757,601633.SH,20200511,8.47,8.9,8.47,8.64,8.39,0.25,2.9797,253294.54,220617.978
756,601633.SH,20200512,8.64,8.72,8.51,8.61,8.64,-0.03,-0.3472,101230.99,87103.789
755,601633.SH,20200513,8.57,8.75,8.46,8.62,8.61,0.01,0.1161,83935.55,72321.177
754,601633.SH,20200514,8.57,8.61,8.35,8.4,8.62,-0.22,-2.5522,132244.11,112008.16
753,601633.SH,20200515,8.4,8.49,8.18,8.25,8.4,-0.15,-1.7857,98092.06,81302.158
752,601633.SH,20200518,8.28,8.29,8.11,8.19,8.25,-0.06,-0.7273,63772.92,52356.12
751,601633.SH,20200519,8.39,8.42,8.2,8.22,8.19,0.03,0.3663,78341.08,64990.031
750,601633.SH,20200520,8.2,8.3,8.12,8.15,8.22,-0.07,-0.8516,75488.21,61866.919
749,601633.SH,20200521,8.15,8.22,8.06,8.1,8.15,-0.05,-0.6135,58082,47304.311
748,601633.SH,20200522,8.1,8.2,7.97,8.02,8.1,-0.08,-0.9877,84186.04,67869.99
747,601633.SH,20200525,8.03,8.05,7.83,7.88,8.02,-0.14,-1.7456,115568.27,91348.984
746,601633.SH,20200526,7.91,8.03,7.91,7.95,7.88,0.07,0.8883,94726.73,75362.419
745,601633.SH,20200527,7.97,8.25,7.88,8.02,7.95,0.07,0.8805,140064.43,112847.744
744,601633.SH,20200528,8.04,8.1,7.91,8,8.02,-0.02,-0.2494,90606.76,72542.682
743,601633.SH,20200529,7.99,8.04,7.94,7.99,8,-0.01,-0.125,62330.24,49785.019
742,601633.SH,20200601,8.05,8.24,8.02,8.16,7.99,0.17,2.1277,115406,94147.478
741,601633.SH,20200602,8.2,8.21,8.05,8.1,8.16,-0.06,-0.7353,80835.01,65666.37
740,601633.SH,20200603,8.17,8.48,8.13,8.4,8.1,0.3,3.7037,243326.2,203045.415
739,601633.SH,20200604,8.4,8.45,8.21,8.25,8.4,-0.15,-1.7857,157735.74,130870.688
738,601633.SH,20200605,8.25,8.34,8.12,8.18,8.25,-0.07,-0.8485,87624.04,71678.776
737,601633.SH,20200608,8.22,8.55,8.16,8.55,8.18,0.37,4.5232,268753.95,226124.305
736,601633.SH,20200609,8.5,8.57,8.39,8.44,8.55,-0.11,-1.2865,131214.36,111152.601
735,601633.SH,20200610,8.43,8.6,8.35,8.49,8.44,0.05,0.5924,145781.78,123426.791
734,601633.SH,20200611,8.53,8.62,8.33,8.36,8.49,-0.13,-1.5312,136113.47,115254.963
733,601633.SH,20200612,8.22,8.39,8.14,8.32,8.36,-0.04,-0.4785,106023.44,87608.546
732,601633.SH,20200615,8.27,8.3,8.17,8.19,8.32,-0.13,-1.5625,88862.88,72977.921
731,601633.SH,20200616,8.27,8.36,8.18,8.24,8.19,0.05,0.6105,129270.44,106511.088
730,601633.SH,20200617,8.23,8.23,8.08,8.13,8.24,-0.11,-1.335,125117.6,101785.384
