,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
826,300357.SZ,20200102,44.44,44.44,42.91,43.81,44.15,-0.34,-0.7701,71902.45,312153.795
825,300357.SZ,20200103,43.86,44.4,43.54,44.07,43.81,0.26,0.5935,53243.73,234158.124
824,300357.SZ,20200106,43.6,43.89,43.01,43.05,44.07,-1.02,-2.3145,68335.84,295369.007
823,300357.SZ,20200107,43,44.85,42.91,44.85,43.05,1.8,4.1812,88768.13,391702.116
822,300357.SZ,20200108,44.6,44.75,43.41,43.62,44.85,-1.23,-2.7425,56509.6,248944.68
821,300357.SZ,20200109,44,45.88,44,45.78,43.62,2.16,4.9519,90335.21,409501.084
820,300357.SZ,20200110,45.9,46.88,45.4,46.3,45.78,0.52,1.1359,87385.22,404563.952
819,300357.SZ,20200113,46.5,48.46,46.06,48.2,46.3,1.9,4.1037,96656.86,460104.109
818,300357.SZ,20200114,48,48.03,47.13,47.3,48.2,-0.9,-1.8672,66970.88,317869.942
817,300357.SZ,20200115,47.3,47.94,46.63,47.87,47.3,0.57,1.2051,50779.62,240910.17
816,300357.SZ,20200116,47.88,50.49,47.55,49.67,47.87,1.8,3.7602,83362.18,411649.463
815,300357.SZ,20200117,49.86,51.4,49.75,50.6,49.67,0.93,1.8724,83999.94,426236.522
814,300357.SZ,20200120,51.4,51.98,48.87,50.65,50.6,0.05,0.0988,89357.33,449927.659
813,300357.SZ,20200121,50.93,51.79,49.81,50.17,50.65,-0.48,-0.9477,61712.62,312849.269
812,300357.SZ,20200122,50,50.17,49,49.77,50.17,-0.4,-0.7973,48141.46,239653.235
811,300357.SZ,20200123,49.77,51,47.72,48.38,49.77,-1.39,-2.7928,64066.08,316037.824
810,300357.SZ,20200203,43.56,43.56,43.54,43.54,48.38,-4.84,-10.0041,18438,80284.164
809,300357.SZ,20200204,39.5,44.89,39.5,44.52,43.54,0.98,2.2508,105128.65,456301.495
808,300357.SZ,20200205,44.39,46.09,43.31,45.48,44.52,0.96,2.1563,65463.75,295399.359
807,300357.SZ,20200206,45,46.93,44.57,46,45.48,0.52,1.1434,63435.59,292693.761
806,300357.SZ,20200207,46.04,47.3,45.65,46.29,46,0.29,0.6304,55265.17,256657.551
805,300357.SZ,20200210,45.84,46.81,45.1,46.3,46.29,0.01,0.0216,47260.27,217438.603
804,300357.SZ,20200211,46,48.48,45.48,47.89,46.3,1.59,3.4341,68391.84,320193.396
803,300357.SZ,20200212,47.47,48.3,47.2,47.77,47.89,-0.12,-0.2506,47094.02,224569.771
802,300357.SZ,20200213,47.79,48.09,46.2,46.43,47.77,-1.34,-2.8051,49505.33,231778.972
801,300357.SZ,20200214,46.71,47.96,46.36,46.74,46.43,0.31,0.6677,42472.26,200615.535
800,300357.SZ,20200217,46.77,47.99,46.55,47.61,46.74,0.87,1.8614,57428.96,272145.816
799,300357.SZ,20200218,47.62,48.79,47.3,48.7,47.61,1.09,2.2894,66098.99,318951.001
798,300357.SZ,20200219,48.4,48.67,47.1,47.57,48.7,-1.13,-2.3203,59129.08,281830.98
797,300357.SZ,20200220,47.4,49.38,47.2,49.33,47.57,1.76,3.6998,79021.76,383505.51
796,300357.SZ,20200221,49.3,49.43,48.42,48.7,49.33,-0.63,-1.2771,63743.13,311377.557
795,300357.SZ,20200224,48.39,48.4,46.18,46.92,48.7,-1.78,-3.655,94300.94,444010.647
794,300357.SZ,20200225,45.9,47.8,45.6,46.54,46.92,-0.38,-0.8099,72591.03,338338.154
793,300357.SZ,20200226,46.07,46.46,45.01,45.06,46.54,-1.48,-3.1801,57205.23,261058.329
792,300357.SZ,20200227,45.5,46.45,44.52,45.96,45.06,0.9,1.9973,46227.55,211254.862
791,300357.SZ,20200228,45,45.89,43,43.18,45.96,-2.78,-6.0487,76354.88,336294.423
790,300357.SZ,20200302,43.66,44.49,42.82,44.11,43.18,0.93,2.1538,51851.39,227338.139
789,300357.SZ,20200303,44.92,46.09,44.61,45,44.11,0.89,2.0177,49639.8,224824.696
788,300357.SZ,20200304,44.95,45.55,44,45.55,45,0.55,1.2222,41059.58,184861.522
787,300357.SZ,20200305,45.82,49.28,45.67,48.5,45.55,2.95,6.4764,99411.85,472470.317
786,300357.SZ,20200306,48.17,49.49,47.92,48.32,48.5,-0.18,-0.3711,82107.49,399875.8
785,300357.SZ,20200309,47.03,48.32,46.08,46.08,48.32,-2.24,-4.6358,65057.35,306595.012
784,300357.SZ,20200310,46.08,46.92,44.57,46.4,46.08,0.32,0.6944,58503.61,267843.796
783,300357.SZ,20200311,46.49,47.14,45.2,45.43,46.4,-0.97,-2.0905,42019.8,193784.059
